"SETTLEMENT_DATE","SETTLEMENT_PERIOD","ND","TSD","ENGLAND_WALES_DEMAND","EMBEDDED_WIND_GENERATION","EMBEDDED_WIND_CAPACITY","EMBEDDED_SOLAR_GENERATION","EMBEDDED_SOLAR_CAPACITY","NON_BM_STOR","PUMP_STORAGE_PUMPING","SCOTTISH_TRANSFER","IFA_FLOW","IFA2_FLOW","BRITNED_FLOW","MOYLE_FLOW","EAST_WEST_FLOW","NEMO_FLOW","NSL_FLOW","ELECLINK_FLOW","VIKING_FLOW"
"2024-01-01",1,21783,23466,19539,2804,6488,0,16445,0,808,-71,417,-4,666,-179,-92,905,62,998,572
"2024-01-01",2,22521,24103,20286,2834,6488,0,16445,0,895,288,430,-4,661,-60,-8,901,-15,998,575
"2024-01-01",3,22194,24754,20070,2868,6488,0,16445,0,1441,466,834,-4,661,-118,-1,807,-396,997,422
"2024-01-01",4,21510,24505,19424,2901,6488,0,16445,0,1564,262,839,-4,661,-270,-84,803,-473,997,401
"2024-01-01",5,20619,23977,18674,2933,6488,0,16445,0,1454,595,53,-5,661,-340,-103,537,-856,998,28
"2024-01-01",6,20099,23775,18184,2965,6488,0,16445,0,1555,888,18,-5,661,-340,-241,526,-935,999,-4
"2024-01-01",7,19345,23474,17561,2987,6488,0,16445,0,1530,988,361,-5,546,-340,-326,414,-1328,995,-341
"2024-01-01",8,18743,23061,16968,3008,6488,0,16445,0,1521,793,381,-5,541,-340,-470,411,-1382,995,-367
"2024-01-01",9,18365,22732,16612,3000,6488,0,16445,0,1526,1087,225,-5,271,-340,-452,596,-1444,994,-432
"2024-01-01",10,18128,22501,16442,2992,6488,0,16445,0,1500,1217,235,-5,259,-340,-477,602,-1451,969,-438
"2024-01-01",11,18079,22495,16430,2929,6488,0,16445,0,1491,1290,1057,-5,293,-340,-528,584,-1452,113,-503
"2024-01-01",12,18189,22596,16565,2865,6488,0,16445,0,1480,1152,1113,-5,294,-340,-529,583,-1453,62,-507
"2024-01-01",13,18847,23238,17203,2769,6488,0,16445,0,1464,1280,1404,-5,129,-340,-529,796,-1453,169,-486
"2024-01-01",14,19287,23660,17616,2673,6488,0,16445,0,1446,1539,1425,-5,117,-340,-529,803,-1453,183,-484
"2024-01-01",15,19917,23878,18213,2603,6488,0,16445,0,1035,1619,1602,-4,103,-340,-529,691,-1453,394,-573
"2024-01-01",16,20395,23998,18677,2532,6488,0,16445,0,630,1435,1618,-4,102,-405,-528,687,-1436,416,-571
"2024-01-01",17,21582,24790,19824,2448,6488,0,16445,0,407,1145,1892,-4,151,-450,-529,988,-1218,686,-192
"2024-01-01",18,22082,25030,20306,2363,6488,148,16445,0,205,1320,1909,-4,163,-450,-529,999,-1160,698,-149
"2024-01-01",19,23168,25578,21239,2248,6488,721,16445,0,58,1257,1995,-4,417,-450,-529,999,-769,525,449
"2024-01-01",20,23753,26052,21758,2133,6488,1506,16445,0,26,1280,2000,-4,424,-450,-529,999,-690,526,498
"2024-01-01",21,24471,26631,22359,2030,6488,2231,16445,0,330,929,1999,-4,975,-388,-530,999,-308,969,761
"2024-01-01",22,24864,26606,22683,1927,6488,2583,16445,0,18,649,2000,-4,1003,-350,-530,999,-240,998,780
"2024-01-01",23,25947,27435,23632,1844,6488,2831,16445,0,17,634,2000,-4,1003,-337,-530,999,33,998,780
"2024-01-01",24,26664,28121,24317,1761,6488,2494,16445,0,15,799,2000,-4,1003,-308,-530,999,97,998,780
"2024-01-01",25,27852,29324,25408,1643,6488,2127,16445,0,13,897,2001,-4,1003,-325,-530,999,469,998,780
"2024-01-01",26,28748,30225,26240,1525,6488,1937,16445,0,10,671,2000,-4,1004,-332,-531,999,545,998,780
"2024-01-01",27,29377,30790,26831,1408,6488,1498,16445,0,7,541,2001,-4,1003,-271,-531,999,919,998,780
"2024-01-01",28,30067,31369,27443,1291,6488,894,16445,0,7,364,2001,-4,1003,-220,-471,999,993,998,780
"2024-01-01",29,30374,31735,27668,1242,6488,532,16445,0,8,216,2000,-4,1003,-235,-514,999,1353,998,780
"2024-01-01",30,30972,32271,28180,1192,6488,219,16445,0,9,222,2000,-4,1003,-272,-414,999,1398,998,780
"2024-01-01",31,31758,32988,28907,1231,6488,40,16445,0,11,300,2001,-4,1003,-235,-380,999,1399,998,780
"2024-01-01",32,32493,33532,29557,1269,6488,0,16445,0,4,131,2000,-4,975,-196,-235,999,1398,998,780
"2024-01-01",33,33787,34542,30682,1365,6488,0,16445,0,5,466,2000,-4,544,-64,-82,1018,1399,998,780
"2024-01-01",34,34792,35546,31679,1461,6488,0,16445,0,3,676,2000,-4,544,-147,0,1019,1399,997,780
"2024-01-01",35,34845,35637,31786,1590,6488,0,16445,0,4,900,2000,-4,950,-184,0,1019,1399,998,780
"2024-01-01",36,34479,35281,31533,1719,6488,0,16445,0,5,1254,2000,-4,973,-193,0,1020,1399,997,780
"2024-01-01",37,33608,34319,30891,1924,6488,0,16445,0,5,1512,2000,-4,530,-102,25,1019,1399,997,780
"2024-01-01",38,32724,33573,30128,2128,6488,0,16445,0,6,1700,1999,-4,529,-188,-51,1019,1369,997,780
"2024-01-01",39,31674,32416,29302,2338,6488,0,16445,0,11,2355,1999,-4,697,-118,-9,1019,995,997,780
"2024-01-01",40,30525,31348,28321,2547,6488,0,16445,0,12,2846,1999,-4,709,-207,0,1019,919,997,767
"2024-01-01",41,28786,29550,26661,2764,6488,0,16445,0,11,3450,1999,-4,569,-149,0,1019,545,997,251
"2024-01-01",42,27781,28651,25740,2980,6488,0,16445,0,111,3865,1997,-4,539,-155,0,1019,470,997,208
"2024-01-01",43,26182,27632,24362,3126,6488,0,16445,0,283,4545,1921,-4,-415,-148,0,948,96,997,5
"2024-01-01",44,24879,26429,23296,3272,6488,0,16445,0,231,4370,1901,-4,-455,-203,-57,944,19,993,-23
"2024-01-01",45,23495,24747,22053,3384,6488,0,16445,0,219,4980,1244,-4,112,-67,-4,589,-358,864,-747
"2024-01-01",46,22352,24070,20978,3496,6488,0,16445,0,576,4661,1201,-4,122,-102,0,527,-436,855,-793
"2024-01-01",47,20807,24390,19640,3668,6488,0,16445,0,740,5284,1090,-4,-532,-206,-64,-617,-820,822,-738
"2024-01-01",48,20060,24309,18907,3840,6488,0,16445,0,974,4580,1060,-4,-621,-252,-210,-689,-899,822,-727
"2024-01-02",1,20056,24045,18924,3781,6488,0,16445,0,977,4651,316,-4,-628,-322,-166,137,-1292,913,-485
"2024-01-02",2,20391,24303,19310,3721,6488,0,16445,0,960,4698,274,-4,-627,-330,-43,181,-1348,920,-475
"2024-01-02",3,20055,24401,19000,3630,6488,0,16445,0,699,4718,490,-4,-732,-330,-144,-397,-1440,994,-768
"2024-01-02",4,19350,24288,18393,3539,6488,0,16445,0,1140,4380,512,-4,-735,-293,-295,-420,-1451,996,-794
"2024-01-02",5,19219,23840,18219,3420,6488,0,16445,0,1212,4158,799,-4,-580,-328,-446,79,-1451,923,-794
"2024-01-02",6,19001,23306,17888,3300,6488,0,16445,0,842,3587,816,-4,-579,-301,-528,102,-1451,918,-794
"2024-01-02",7,18649,22999,17505,3110,6488,0,16445,0,919,3252,892,-4,-550,-330,-495,96,-1452,918,-794
"2024-01-02",8,18530,23166,17315,2919,6488,0,16445,0,1184,3354,892,-5,-549,-330,-516,96,-1452,920,-794
"2024-01-02",9,18450,23099,17226,2753,6488,0,16445,0,1189,3374,722,-5,-512,-330,-530,-31,-1452,994,-794
"2024-01-02",10,18467,23025,17241,2587,6488,0,16445,0,1125,3269,714,-5,-511,-330,-530,-36,-1421,992,-783
"2024-01-02",11,18986,23203,17625,2438,6488,0,16445,0,1178,3250,802,-5,-547,-330,-530,15,-1027,791,-326
"2024-01-02",12,19601,23724,18228,2288,6488,0,16445,0,1162,3466,828,-4,-549,-330,-530,17,-948,783,-289
"2024-01-02",13,21950,25216,20389,2185,6488,0,16445,0,405,3469,1552,-4,-837,-330,-530,0,-560,985,-135
"2024-01-02",14,23605,26429,22045,2082,6488,0,16445,0,22,3779,1610,-4,-849,-336,-531,7,-482,998,-111
"2024-01-02",15,26131,28582,24449,2012,6488,0,16445,0,21,3525,1959,-4,-762,-431,-530,580,-103,998,261
"2024-01-02",16,27603,29999,25897,1942,6488,0,16445,0,95,3751,1981,-4,-691,-450,-530,610,-26,998,300
"2024-01-02",17,29817,31589,28033,1877,6488,0,16445,0,188,3745,2001,-4,399,-450,-530,928,349,998,744
"2024-01-02",18,31783,33387,29923,1812,6488,0,16445,0,19,3699,2002,-4,453,-450,-531,941,425,998,773
"2024-01-02",19,33278,34876,31316,1786,6488,14,16445,0,14,3632,2001,-4,481,-450,-530,901,797,998,759
"2024-01-02",20,34146,35743,32089,1759,6488,73,16445,0,12,3466,2001,-4,483,-450,-531,900,850,998,749
"2024-01-02",21,34541,36142,32324,1756,6488,125,16445,0,16,3083,2001,-4,418,-450,-531,967,938,998,749
"2024-01-02",22,34830,36425,32517,1753,6488,213,16445,0,11,2639,2001,-4,422,-450,-530,969,979,998,750
"2024-01-02",23,34943,36539,32503,1766,6488,296,16445,0,12,2318,1198,-4,928,-450,-530,998,1352,999,773
"2024-01-02",24,35516,37112,33005,1779,6488,401,16445,0,15,2341,1814,-4,942,-450,-527,1000,1399,998,773
"2024-01-02",25,36134,37622,33577,1841,6488,434,16445,0,13,2333,2000,-4,601,-450,-421,999,1398,997,773
"2024-01-02",26,36280,37628,33632,1903,6488,456,16445,0,11,2230,2000,-4,599,-450,-283,999,1399,997,773
"2024-01-02",27,36082,37278,33379,1965,6488,514,16445,0,11,1941,2000,-4,473,-449,-132,999,1399,997,773
"2024-01-02",28,35681,36792,33041,2027,6488,706,16445,0,14,1688,2000,-4,467,-422,-71,999,1398,997,768
"2024-01-02",29,35320,36347,32669,2086,6488,539,16445,0,13,1505,2000,-4,131,-401,-9,999,1398,998,615
"2024-01-02",30,35326,36361,32648,2145,6488,354,16445,0,13,1241,2001,-4,119,-326,-92,999,1395,997,605
"2024-01-02",31,35716,36783,32983,2201,6488,203,16445,0,11,1051,2002,-4,670,-332,-120,999,1361,998,627
"2024-01-02",32,35966,37194,33175,2257,6488,37,16445,0,9,854,2002,-4,700,-345,-270,999,1359,998,633
"2024-01-02",33,36546,37911,33601,2330,6488,0,16445,0,6,720,2001,-4,327,-444,-311,1016,1393,998,742
"2024-01-02",34,37536,38922,34487,2403,6488,0,16445,0,4,716,2001,-4,333,-407,-371,1017,1397,998,436
"2024-01-02",35,38382,39946,35312,2417,6488,0,16445,0,4,616,2000,-4,967,-449,-507,1019,1397,997,0
"2024-01-02",36,38399,39987,35362,2431,6488,0,16445,0,4,746,2001,-4,1003,-450,-530,1019,1397,997,0
"2024-01-02",37,37716,39306,34775,2426,6488,0,16445,0,6,775,2001,-4,945,-450,-530,1019,1393,998,0
"2024-01-02",38,36581,38173,33718,2421,6488,0,16445,0,8,1011,2000,-4,944,-450,-530,1019,1392,997,0
"2024-01-02",39,35256,36854,32489,2412,6488,0,16445,0,14,1194,2000,-4,1001,-450,-530,1019,1390,998,0
"2024-01-02",40,33905,35501,31298,2403,6488,0,16445,0,12,1264,2000,-4,993,-450,-530,1019,1369,997,0
"2024-01-02",41,32805,34401,30315,2395,6488,0,16445,0,11,1337,2000,-4,735,-450,-531,1014,1113,997,0
"2024-01-02",42,32022,33615,29651,2386,6488,0,16445,0,9,1460,2000,-4,734,-450,-530,1013,1051,997,0
"2024-01-02",43,30514,32107,28281,2367,6488,0,16445,0,10,1679,2000,-4,728,-450,-529,1000,678,997,0
"2024-01-02",44,29159,30755,26995,2347,6488,0,16445,0,12,1547,2000,-4,728,-450,-530,999,602,997,0
"2024-01-02",45,27828,29424,25717,2345,6488,0,16445,0,11,1621,2000,-4,712,-450,-531,999,228,997,645
"2024-01-02",46,26171,27772,24229,2343,6488,0,16445,0,16,1626,1997,-4,704,-450,-531,999,179,997,777
"2024-01-02",47,24093,26209,22276,2305,6488,0,16445,0,588,1806,1746,-4,478,-450,-474,905,138,997,777
"2024-01-02",48,23226,25654,21495,2267,6488,0,16445,0,870,1746,1733,-4,478,-435,-519,901,162,997,777
"2024-01-03",1,23097,25678,21471,2250,6488,0,16445,0,1122,1611,1769,-4,544,-339,-516,901,534,997,777
"2024-01-03",2,23277,25865,21682,2232,6488,0,16445,0,1252,1786,1772,-4,554,-330,-402,901,585,997,777
"2024-01-03",3,23085,25665,21522,2210,6488,0,16445,0,1250,1846,1844,-4,758,-330,-396,906,641,985,777
"2024-01-03",4,22707,25488,21155,2187,6488,0,16445,0,1328,1910,1848,-4,757,-330,-519,906,618,997,773
"2024-01-03",5,22296,24908,20869,2140,6488,0,16445,0,1147,2132,1898,-4,381,-330,-531,906,244,997,576
"2024-01-03",6,22044,24703,20646,2093,6488,0,16445,0,1193,2142,1900,-4,364,-331,-531,906,185,997,556
"2024-01-03",7,21820,24513,20414,2085,6488,0,16445,0,1227,2177,1900,-4,321,-331,-531,906,17,997,325
"2024-01-03",8,21486,24166,20059,2076,6488,0,16445,0,1214,2249,1895,-4,319,-331,-531,906,22,997,306
"2024-01-03",9,21363,23954,19953,2050,6488,0,16445,0,1125,2341,1713,-4,291,-331,-531,902,339,997,154
"2024-01-03",10,21484,24160,20092,2024,6488,0,16445,0,1210,2489,1697,-4,290,-331,-531,901,408,998,150
"2024-01-03",11,21865,24312,20415,1992,6488,0,16445,0,980,2506,1447,-5,317,-331,-531,807,780,998,437
"2024-01-03",12,22701,24892,21167,1959,6488,0,16445,0,726,2510,1445,-4,318,-330,-531,803,856,996,460
"2024-01-03",13,25087,26769,23392,1899,6488,0,16445,0,175,2425,1824,-4,610,-372,-531,757,1229,944,531
"2024-01-03",14,27083,28660,25304,1839,6488,0,16445,0,22,2266,1851,-4,611,-438,-513,756,1284,942,546
"2024-01-03",15,29473,30854,27504,1800,6488,0,16445,0,19,2458,1898,-4,301,-343,-415,839,1386,994,766
"2024-01-03",16,30770,32323,28726,1761,6488,0,16445,0,13,2087,1903,-4,305,-429,-507,843,1399,998,780
"2024-01-03",17,32399,33995,30253,1721,6488,3,16445,0,12,1982,1994,-4,825,-450,-530,933,1398,998,780
"2024-01-03",18,33463,35058,31185,1680,6488,184,16445,0,11,2349,2000,-4,851,-450,-530,936,1398,997,780
"2024-01-03",19,33798,35392,31380,1679,6488,531,16445,0,9,2514,2000,-4,948,-450,-531,959,1397,998,780
"2024-01-03",20,33880,35473,31420,1678,6488,885,16445,0,8,2569,2000,-4,954,-450,-531,960,1397,997,780
"2024-01-03",21,33965,35559,31434,1685,6488,1317,16445,0,9,2533,2000,-4,1001,-450,-531,998,1398,997,780
"2024-01-03",22,34154,35730,31559,1692,6488,1687,16445,0,9,2406,2000,-4,1003,-450,-513,999,1398,997,780
"2024-01-03",23,34057,35467,31433,1699,6488,1759,16445,0,12,2106,2000,-4,1003,-409,-385,999,1399,996,780
"2024-01-03",24,34036,35322,31417,1706,6488,1920,16445,0,9,2205,1999,-4,1003,-371,-302,999,1399,996,780
"2024-01-03",25,34751,36021,32051,1704,6488,2104,16445,0,9,2029,2000,-4,1003,-447,-210,999,1399,997,780
"2024-01-03",26,35116,36377,32406,1702,6488,1859,16445,0,9,1985,2000,-4,1003,-433,-215,999,1399,997,780
"2024-01-03",27,34955,36010,32255,1697,6488,1848,16445,0,8,1987,2000,-4,1003,-370,-73,999,1399,997,780
"2024-01-03",28,35090,36081,32385,1692,6488,1554,16445,0,6,1864,2000,-4,998,-381,0,999,1399,997,780
"2024-01-03",29,35488,36347,32855,1704,6488,1057,16445,0,6,2514,2000,-4,451,-249,0,999,1399,998,780
"2024-01-03",30,35654,36535,33041,1716,6488,651,16445,0,14,2587,2000,-4,407,-263,0,999,1398,998,780
"2024-01-03",31,35789,36978,33150,1776,6488,253,16445,0,12,2496,2000,-4,-400,-173,0,999,1398,997,780
"2024-01-03",32,36633,37785,33977,1835,6488,39,16445,0,8,2628,2000,-4,-459,-81,0,999,1397,997,780
"2024-01-03",33,37642,39240,34768,1856,6488,0,16445,0,6,2997,2001,-4,-988,32,56,1018,1397,997,780
"2024-01-03",34,38661,40285,35512,1876,6488,0,16445,0,6,3060,2000,-4,-1014,133,11,1019,1397,997,780
"2024-01-03",35,39360,40561,36147,1899,6488,0,16445,0,6,2733,2000,-4,-591,29,0,1019,1397,997,780
"2024-01-03",36,39562,40706,36347,1921,6488,0,16445,0,6,2758,1999,-4,-534,29,0,1019,1397,997,780
"2024-01-03",37,39380,40526,36257,1935,6488,0,16445,0,8,3008,1999,-4,-534,155,0,934,1397,997,780
"2024-01-03",38,38312,39437,35295,1949,6488,0,16445,0,16,2905,2000,-4,-505,83,0,930,1397,997,780
"2024-01-03",39,37641,38277,34727,1961,6488,0,16445,0,16,2696,1999,-4,448,-16,0,1016,1397,997,780
"2024-01-03",40,36378,37142,33660,1973,6488,0,16445,0,13,2672,2000,-4,519,-147,0,1019,1397,997,780
"2024-01-03",41,35027,36006,32383,1989,6488,0,16445,0,13,2596,1999,-4,981,-298,-64,1019,1397,997,780
"2024-01-03",42,33488,34748,30991,2005,6488,0,16445,0,13,2608,1999,-4,1002,-431,-212,1019,1397,997,780
"2024-01-03",43,32094,33359,29732,2013,6488,0,16445,0,11,2697,2000,-4,1003,-451,-199,1000,1397,997,780
"2024-01-03",44,30431,31718,28202,2020,6488,0,16445,0,11,2734,1986,-4,1003,-451,-221,999,1397,998,778
"2024-01-03",45,28309,29677,26200,2014,6488,0,16445,0,10,2810,1583,-4,813,-451,-303,953,1398,997,658
"2024-01-03",46,26784,28020,24794,2007,6488,0,16445,0,14,2855,1533,-4,801,-450,-168,941,1398,997,649
"2024-01-03",47,25182,26270,23277,1962,6488,0,16445,0,14,2949,927,-4,285,-437,-33,290,1398,998,649
"2024-01-03",48,24088,25389,22241,1917,6488,0,16445,0,280,2922,883,-4,260,-417,0,256,1399,998,649
"2024-01-04",1,23915,25600,22122,1896,6488,0,16445,0,747,3063,874,-4,157,-334,0,255,1399,997,649
"2024-01-04",2,24456,26358,22697,1875,6488,0,16445,0,1081,3265,888,-4,152,-217,0,256,1398,998,649
"2024-01-04",3,24144,26186,22383,1854,6488,0,16445,0,1196,2873,1288,-4,2,-242,0,441,1399,997,582
"2024-01-04",4,23622,25866,21887,1832,6488,0,16445,0,1262,2474,1318,-4,0,-378,0,453,1398,997,575
"2024-01-04",5,23318,26024,21596,1811,6488,0,16445,0,1515,2341,1330,-4,-98,-450,-39,975,1399,997,510
"2024-01-04",6,22908,25603,21198,1789,6488,0,16445,0,1505,2343,1330,-4,-104,-450,-32,999,1387,997,506
"2024-01-04",7,22456,25149,20736,1766,6488,0,16445,0,1486,2365,1282,-5,-104,-450,-48,953,1251,997,572
"2024-01-04",8,22055,24733,20309,1742,6488,0,16445,0,1460,2174,1276,-5,-104,-450,-59,951,1211,997,577
"2024-01-04",9,21733,24393,20034,1708,6488,0,16445,0,1463,2334,1167,-5,95,-450,-142,903,912,998,577
"2024-01-04",10,21923,24707,20160,1673,6488,0,16445,0,1474,2321,1165,-5,102,-450,-255,901,886,991,577
"2024-01-04",11,22201,25033,20500,1612,6488,0,16445,0,1452,2498,1361,-5,-185,-450,-140,787,1022,796,577
"2024-01-04",12,23162,25670,21395,1551,6488,0,16445,0,1316,2474,1376,-5,-201,-373,-13,783,1052,783,577
"2024-01-04",13,25595,27473,23637,1469,6488,0,16445,0,530,2879,1376,-4,-474,-270,0,642,1219,754,544
"2024-01-04",14,27902,29681,25799,1387,6488,0,16445,0,315,2539,1358,-4,-489,-371,0,626,1210,747,525
"2024-01-04",15,30670,32731,28381,1325,6488,0,16445,0,35,2314,678,-4,-989,-320,0,-57,837,544,-56
"2024-01-04",16,32566,34819,30091,1263,6488,0,16445,0,17,2057,653,-4,-1015,-423,-8,-95,820,530,-91
"2024-01-04",17,34051,36546,31431,1207,6488,3,16445,0,16,1828,1355,-4,-1014,-435,-125,-301,1193,487,0
"2024-01-04",18,34973,37501,32270,1151,6488,226,16445,0,15,2028,1394,-4,-1014,-338,-277,-280,1250,488,1
"2024-01-04",19,35773,38078,32920,1102,6488,897,16445,0,10,1771,1197,-4,-835,-428,-428,649,1381,620,162
"2024-01-04",20,36018,38346,33077,1053,6488,1465,16445,0,7,1548,1187,-4,-740,-450,-527,710,1377,628,181
"2024-01-04",21,35808,37399,32815,1002,6488,1850,16445,0,6,1376,1443,-4,-3,-450,-528,693,1131,624,214
"2024-01-04",22,35590,37179,32579,951,6488,2109,16445,0,6,1358,1468,-4,0,-450,-529,692,1115,630,220
"2024-01-04",23,35986,37573,32969,906,6488,2105,16445,0,4,932,1970,-4,0,-450,-529,698,1300,831,349
"2024-01-04",24,36250,37839,33172,860,6488,2010,16445,0,6,882,2002,-4,0,-450,-529,698,1327,844,358
"2024-01-04",25,36775,38364,33666,819,6488,1809,16445,0,6,767,2000,-4,111,-450,-529,902,1390,842,316
"2024-01-04",26,37192,38778,34074,778,6488,1465,16445,0,4,798,1999,-4,117,-450,-528,909,1398,845,311
"2024-01-04",27,37632,39220,34517,737,6488,1197,16445,0,5,836,1952,-4,409,-450,-529,942,1399,965,289
"2024-01-04",28,37463,39053,34335,695,6488,836,16445,0,8,877,1951,-4,421,-450,-528,943,1394,973,287
"2024-01-04",29,37784,39379,34642,683,6488,531,16445,0,12,1024,1998,-4,239,-450,-529,883,1333,957,287
"2024-01-04",30,38332,39926,35145,670,6488,296,16445,0,11,1135,2000,-4,236,-450,-529,880,1298,957,274
"2024-01-04",31,38282,40035,35069,682,6488,118,16445,0,5,1288,2000,-4,212,-450,-529,994,960,995,-165
"2024-01-04",32,38487,40269,35228,694,6488,13,16445,0,5,1454,2000,-4,209,-450,-529,998,947,997,-194
"2024-01-04",33,38978,41477,35624,714,6488,0,16445,0,5,1621,1999,-4,-803,-450,-529,1018,1320,997,-108
"2024-01-04",34,40144,42869,36665,734,6488,0,16445,0,5,2045,1999,-4,-1007,-451,-529,1019,1368,997,-94
"2024-01-04",35,40434,42520,36895,759,6488,0,16445,0,4,1761,1999,-4,-398,-451,-529,1019,1394,997,0
"2024-01-04",36,40364,42358,36794,783,6488,0,16445,0,5,1634,1998,-4,-365,-452,-529,1019,1386,997,-21
"2024-01-04",37,40394,42903,36898,791,6488,0,16445,0,5,1536,1998,-4,-210,-451,-529,1019,1237,997,-710
"2024-01-04",38,39784,42314,36360,799,6488,0,16445,0,6,1369,1999,-4,-198,-452,-528,1019,1206,997,-742
"2024-01-04",39,39368,41146,36049,804,6488,0,16445,0,13,1274,1998,-4,791,-451,-529,1019,1033,997,-181
"2024-01-04",40,37830,39572,34650,808,6488,0,16445,0,12,1198,1998,-4,996,-452,-529,1019,1004,994,-145
"2024-01-04",41,36300,38033,33186,828,6488,0,16445,0,12,1253,1998,-4,600,-452,-530,1019,907,893,-135
"2024-01-04",42,35188,36917,32206,848,6488,0,16445,0,12,1328,1998,-4,581,-451,-531,1019,898,883,-131
"2024-01-04",43,33630,35161,30750,863,6488,0,16445,0,12,1473,1940,-4,734,-374,-530,1000,925,768,-11
"2024-01-04",44,31935,33404,29195,877,6488,0,16445,0,10,1662,1935,-4,741,-324,-531,999,904,759,0
"2024-01-04",45,30025,31419,27477,896,6488,0,16445,0,8,1602,1775,-4,820,-252,-530,975,594,678,0
"2024-01-04",46,28418,29761,26002,914,6488,0,16445,0,12,1351,1765,-4,825,-243,-484,974,585,681,0
"2024-01-04",47,26754,28164,24470,910,6488,0,16445,0,10,922,1732,-4,766,-307,-489,809,957,978,0
"2024-01-04",48,25622,27070,23389,905,6488,0,16445,0,42,529,1725,-4,763,-423,-379,803,1029,997,0
"2024-01-05",1,25277,27062,23138,915,6488,0,16445,0,505,657,1609,-4,700,-442,-234,921,1358,997,130
"2024-01-05",2,25724,27302,23589,925,6488,0,16445,0,528,723,1595,-4,695,-363,-83,925,1399,997,144
"2024-01-05",3,25208,27166,23103,954,6488,0,16445,0,908,708,1418,-4,220,-411,-35,899,1399,997,164
"2024-01-05",4,24640,27166,22615,983,6488,0,16445,0,1506,824,1403,-4,198,-414,-2,897,1369,997,167
"2024-01-05",5,24113,26706,22149,1002,6488,0,16445,0,1505,894,1244,-4,239,-414,-70,768,995,997,102
"2024-01-05",6,23843,26386,21863,1021,6488,0,16445,0,1520,803,1235,-4,239,-414,-5,764,921,997,97
"2024-01-05",7,23208,25723,21231,1071,6488,0,16445,0,1492,820,1264,-4,169,-408,-11,780,564,997,97
"2024-01-05",8,22624,25151,20644,1120,6488,0,16445,0,1486,869,1269,-4,166,-333,-104,780,491,997,86
"2024-01-05",9,22149,24560,20213,1137,6488,0,16445,0,1476,955,1437,-4,135,-185,-19,841,118,997,-127
"2024-01-05",10,21767,24078,19833,1153,6488,0,16445,0,1474,982,1447,-4,134,-81,0,843,67,988,-152
"2024-01-05",11,21895,23810,19984,1153,6488,0,16445,0,874,1206,1496,-4,154,0,0,756,3,691,-437
"2024-01-05",12,23676,24800,21678,1152,6488,0,16445,0,34,1052,1489,-4,155,-35,0,735,-6,676,-445
"2024-01-05",13,26376,27096,24229,1124,6488,0,16445,0,15,872,1268,-4,130,-15,40,-53,-5,834,-28
"2024-01-05",14,28562,29457,26217,1095,6488,0,16445,0,16,436,1235,-4,130,-143,0,-99,-32,833,-1
"2024-01-05",15,31158,32668,28676,1092,6488,0,16445,0,52,324,690,-4,117,-290,-16,140,-368,435,-180
"2024-01-05",16,32859,34367,30271,1089,6488,0,16445,0,16,220,676,-4,117,-315,-2,150,-383,414,-188
"2024-01-05",17,34615,35789,31858,1093,6488,0,16445,0,14,-81,1415,-4,128,-433,-76,478,-47,565,57
"2024-01-05",18,35692,36761,32803,1097,6488,76,16445,0,16,-6,1465,-4,129,-410,-34,492,-5,583,75
"2024-01-05",19,36629,37861,33657,1118,6488,338,16445,0,13,-39,1463,-4,178,-450,-160,845,-5,896,186
"2024-01-05",20,36692,37987,33686,1138,6488,654,16445,0,12,-242,1471,-4,180,-451,-223,859,-5,916,198
"2024-01-05",21,36748,38098,33691,1138,6488,996,16445,0,12,-346,1684,-4,-96,-450,-183,685,-5,935,439
"2024-01-05",22,36674,38034,33621,1138,6488,1342,16445,0,12,-329,1704,-4,-104,-451,-184,679,-5,936,454
"2024-01-05",23,37130,38321,34022,1149,6488,1783,16445,0,12,-222,1957,-4,127,-394,-176,921,-5,944,476
"2024-01-05",24,37240,38371,34054,1160,6488,2065,16445,0,12,-180,1970,-4,118,-378,-137,930,7,943,477
"2024-01-05",25,37173,38520,34000,1182,6488,2183,16445,0,9,-147,1971,-4,-244,-387,-103,955,136,902,477
"2024-01-05",26,37087,38483,33922,1203,6488,2018,16445,0,7,-85,1968,-4,-255,-379,-151,956,163,901,474
"2024-01-05",27,36996,38619,33856,1198,6488,1793,16445,0,8,-72,1808,-4,-548,-407,-56,825,300,945,232
"2024-01-05",28,36904,38590,33810,1193,6488,1504,16445,0,8,-28,1777,-4,-549,-408,-117,819,314,947,210
"2024-01-05",29,36333,37442,33230,1179,6488,1064,16445,0,7,319,1169,-4,-198,-278,-22,475,277,909,13
"2024-01-05",30,36274,37402,33215,1165,6488,601,16445,0,10,568,1143,-4,-156,-340,-18,466,254,905,0
"2024-01-05",31,37043,38096,33937,1175,6488,262,16445,0,12,430,1833,-4,480,-332,-105,961,25,885,59
"2024-01-05",32,37497,38454,34373,1185,6488,51,16445,0,12,569,1867,-4,548,-201,-140,984,16,887,85
"2024-01-05",33,38136,39310,34883,1176,6488,0,16445,0,10,557,1499,-4,325,-278,-282,970,266,968,531
"2024-01-05",34,39330,40500,35944,1167,6488,0,16445,0,5,338,1477,-4,325,-273,-288,969,322,974,560
"2024-01-05",35,40025,41457,36467,1156,6488,0,16445,0,4,45,1628,-4,660,-403,-421,779,640,996,560
